mode,node_id,x,y,z,ux,uy,uz,rx,ry,rz
1,1,0,0,0,0.000000000,0.000000000,0.000000000,-0.007800000,0.042500000,-0.030400000
1,2,0,0,1,0.285900000,0.005500000,0.000000000,-0.003400000,0.452900000,-0.021100000
1,3,0,0,2,0.698000000,0.007000000,-0.000100000,0.000100000,0.261200000,-0.011800000
1,4,0,0,3,0.688400000,0.005600000,-0.000100000,0.002300000,-0.277700000,-0.002500000
1,5,0,0,4,0.270300000,0.002700000,-0.000200000,0.003000000,-0.446800000,0.006800000
1,6,0,0,5,0.000100000,-0.000100000,-0.000200000,0.002100000,-0.021300000,0.016200000
1,7,0,0,6,-0.021200000,-0.001400000,-0.000200000,0.000600000,-0.018700000,0.012100000
1,8,0,0,7,-0.033000000,-0.001400000,-0.000200000,-0.000400000,-0.003700000,0.008100000
1,9,0,0,8,-0.028300000,-0.000800000,-0.000300000,-0.000700000,0.012100000,0.004100000
1,10,0,0,9,-0.012800000,-0.000100000,-0.000300000,-0.000400000,0.016300000,0.000100000
1,11,0,0,10,-0.000700000,-0.000200000,-0.000300000,0.000600000,0.005700000,-0.004000000
1,12,5,0,0,0.000000000,0.000000000,0.000000000,-0.021700000,0.063800000,-0.045200000
1,13,5,0,1,0.411600000,0.015000000,0.000100000,-0.009000000,0.649200000,-0.033100000
1,14,5,0,2,1.000000000,0.018500000,0.000100000,0.000800000,0.370200000,-0.020900000
1,15,5,0,3,0.981900000,0.014300000,0.000200000,0.006500000,-0.401500000,-0.008800000
1,16,5,0,4,0.381900000,0.006600000,0.000300000,0.007500000,-0.637700000,0.003400000
1,17,5,0,5,0.000000000,0.000300000,0.000300000,0.003600000,-0.023700000,0.015500000
1,18,5,0,6,-0.023300000,-0.002100000,0.000400000,0.001300000,-0.020000000,0.011700000
1,19,5,0,7,-0.035600000,-0.002500000,0.000400000,-0.000300000,-0.003200000,0.007900000
1,20,5,0,8,-0.029800000,-0.001700000,0.000400000,-0.001100000,0.013500000,0.004100000
1,21,5,0,9,-0.012900000,-0.000400000,0.000400000,-0.001200000,0.017200000,0.000300000
1,22,5,0,10,-0.000700000,0.000500000,0.000500000,-0.000400000,0.005000000,-0.003600000
1,23,5,5,0,0.000000000,0.000000000,0.000000000,-0.002300000,0.001200000,0.000900000
1,24,5,5,1,0.001400000,0.001800000,0.000000000,-0.001300000,0.001400000,0.004000000
1,25,5,5,2,0.002700000,0.002600000,0.000000000,-0.000400000,0.001200000,0.007100000
1,26,5,5,3,0.003600000,0.002600000,0.000100000,0.000400000,0.000400000,0.010300000
1,27,5,5,4,0.003200000,0.001800000,0.000100000,0.001200000,-0.001400000,0.013400000
1,28,5,5,5,-0.000100000,0.000100000,0.000100000,0.002100000,-0.005800000,0.016500000
1,29,5,5,6,-0.004100000,-0.001300000,0.000100000,0.000800000,-0.002500000,0.011200000
1,30,5,5,7,-0.005400000,-0.001600000,0.000100000,-0.000100000,-0.000100000,0.005900000
1,31,5,5,8,-0.004700000,-0.001100000,0.000100000,-0.000700000,0.001500000,0.000600000
1,32,5,5,9,-0.002800000,-0.000300000,0.000100000,-0.000800000,0.002300000,-0.004700000
1,33,5,5,10,-0.000400000,0.000500000,0.000100000,-0.000700000,0.002400000,-0.010000000
1,34,0,5,0,0.000000000,0.000000000,0.000000000,-0.000800000,0.001900000,-0.001600000
1,35,0,5,1,0.001500000,0.000500000,0.000000000,-0.000300000,0.001200000,0.000900000
1,36,0,5,2,0.002400000,0.000600000,0.000000000,0.000100000,0.000600000,0.003400000
1,37,0,5,3,0.002800000,0.000400000,-0.000100000,0.000200000,0.000000000,0.005800000
1,38,0,5,4,0.002300000,0.000100000,-0.000100000,0.000200000,-0.001200000,0.008300000
1,39,0,5,5,-0.000100000,0.000000000,-0.000100000,0.000100000,-0.003900000,0.010800000
1,40,0,5,6,-0.003000000,-0.000100000,-0.000100000,0.000000000,-0.001900000,0.006500000
1,41,0,5,7,-0.004100000,-0.000100000,-0.000100000,0.000000000,-0.000400000,0.002300000
1,42,0,5,8,-0.003800000,-0.000100000,-0.000100000,0.000000000,0.000900000,-0.002000000
1,43,0,5,9,-0.002500000,-0.000100000,-0.000100000,0.000000000,0.001800000,-0.006300000
1,44,0,5,10,-0.000400000,-0.000200000,-0.000200000,0.000100000,0.002400000,-0.010600000
1,45,1,0,10,-0.000700000,-0.002000000,-0.002900000,0.000400000,0.000400000,-0.000100000
1,46,2,0,10,-0.000700000,-0.001000000,-0.001700000,0.000200000,-0.002200000,0.001700000
1,47,3,0,10,-0.000700000,0.000900000,0.001000000,0.000000000,-0.002400000,0.001800000
1,48,4,0,10,-0.000700000,0.002000000,0.002600000,-0.000200000,0.000000000,0.000100000
1,49,1,5,10,-0.000400000,-0.005100000,-0.001200000,-0.000100000,0.000100000,-0.000400000
1,50,2,5,10,-0.000400000,-0.002600000,-0.000600000,-0.000200000,-0.001000000,0.004500000
1,51,3,5,10,-0.000400000,0.002300000,0.000600000,-0.000400000,-0.001000000,0.004600000
1,52,4,5,10,-0.000400000,0.005000000,0.001200000,-0.000500000,0.000100000,0.000000000
1,53,0,1,10,0.000100000,-0.000200000,0.000100000,0.000200000,0.005000000,0.001700000
1,54,0,2,10,-0.003000000,-0.000200000,0.000200000,0.000000000,0.004400000,0.003900000
1,55,0,3,10,-0.006500000,-0.000200000,0.000100000,-0.000200000,0.003700000,0.002400000
1,56,0,4,10,-0.006700000,-0.000200000,-0.000100000,-0.000100000,0.003100000,-0.002600000
1,57,5,1,10,0.000000000,0.000500000,0.000300000,0.000000000,0.004400000,0.001700000
1,58,5,2,10,-0.003000000,0.000500000,0.000400000,0.000100000,0.003900000,0.003700000
1,59,5,3,10,-0.006200000,0.000500000,0.000600000,0.000100000,0.003400000,0.002200000
1,60,5,4,10,-0.006400000,0.000500000,0.000500000,-0.000200000,0.002900000,-0.002500000
1,61,0,1,5,-0.008100000,-0.000100000,0.001100000,0.000700000,-0.017800000,0.001800000
1,62,0,2,5,-0.005900000,-0.000100000,0.001300000,-0.000200000,-0.014300000,-0.005100000
1,63,0,3,5,0.000100000,-0.000100000,0.000800000,-0.000600000,-0.010800000,-0.006000000
1,64,0,4,5,0.004200000,-0.000100000,0.000200000,-0.000500000,-0.007300000,-0.001000000
1,65,5,1,5,-0.007000000,0.000300000,0.002300000,0.000600000,-0.020100000,0.000200000
1,66,5,2,5,-0.003100000,0.000200000,0.001800000,-0.001000000,-0.016500000,-0.006700000
1,67,5,3,5,0.004100000,0.000200000,0.000400000,-0.001300000,-0.012900000,-0.006600000
1,68,5,4,5,0.007700000,0.000200000,-0.000600000,-0.000300000,-0.009400000,0.000700000
1,69,2,0,5,0.000100000,0.003100000,0.003700000,0.002700000,0.008700000,-0.005200000
1,70,3,0,5,0.000100000,-0.002500000,-0.006300000,0.003000000,0.008300000,-0.005200000
1,71,4,0,5,0.000100000,-0.005800000,-0.010900000,0.003300000,-0.002200000,-0.000300000
1,72,1,0,5,0.000100000,0.006400000,0.009100000,0.002400000,-0.000900000,-0.000100000
1,73,2,5,5,-0.000100000,-0.000600000,-0.000100000,0.000900000,0.002100000,-0.007500000
1,74,3,5,5,-0.000100000,-0.007900000,-0.002300000,0.001300000,0.001700000,-0.005800000
1,75,4,5,5,-0.000100000,-0.009700000,-0.003000000,0.001700000,-0.001000000,0.003400000
1,76,1,5,5,-0.000100000,0.004400000,0.001400000,0.000500000,0.000200000,-0.001200000
1,77,5,1,1,0.087500000,0.018100000,-0.018100000,-0.012900000,0.039200000,-0.022200000
1,78,5,2,2,0.118400000,0.024600000,-0.024500000,0.000200000,0.008200000,0.007300000
1,79,5,3,3,0.094000000,0.018900000,-0.018800000,0.010100000,-0.015300000,0.029100000
1,80,5,4,4,0.041200000,0.007400000,-0.007200000,0.011100000,-0.020600000,0.032900000
1,81,0,4,4,0.027100000,0.002800000,-0.002900000,0.004900000,-0.013600000,0.021600000
1,82,0,1,1,0.058100000,0.007300000,-0.007400000,-0.005800000,0.025800000,-0.014700000
1,83,0,2,2,0.078300000,0.010400000,-0.010500000,-0.000100000,0.005200000,0.004800000
1,84,0,3,3,0.062000000,0.007900000,-0.008000000,0.004600000,-0.010200000,0.019200000
1,85,5,1,4,0.005600000,0.003100000,0.003100000,0.001700000,-0.016900000,0.014500000
1,86,5,2,3,0.006500000,0.004000000,0.004000000,0.000000000,-0.011200000,0.012200000
1,87,5,3,2,0.004900000,0.003500000,0.003500000,-0.001200000,-0.006300000,0.009200000
1,88,5,4,1,0.002300000,0.002000000,0.002000000,-0.001900000,-0.002200000,0.005400000
1,89,0,1,4,0.003500000,0.001400000,0.001400000,0.000800000,-0.015100000,0.014100000
1,90,0,2,3,0.003700000,0.001800000,0.001800000,-0.000100000,-0.009900000,0.011200000
1,91,0,3,2,0.002400000,0.001500000,0.001500000,-0.000700000,-0.005300000,0.007500000
1,92,0,4,1,0.000700000,0.000800000,0.000700000,-0.000900000,-0.001400000,0.003300000
1,93,0,1,9,-0.000800000,0.000200000,0.000100000,0.000300000,0.001500000,-0.003300000
1,94,0,2,8,0.001500000,0.000300000,0.000200000,0.000100000,-0.001500000,-0.001400000
1,95,0,3,7,0.003900000,0.000200000,0.000100000,-0.000100000,-0.003500000,0.001500000
1,96,0,4,6,0.004100000,0.000000000,0.000000000,-0.000100000,-0.004300000,0.005600000
1,97,5,1,9,0.000000000,-0.000200000,-0.000200000,-0.000700000,-0.000300000,-0.002700000
1,98,5,2,8,0.003500000,-0.000900000,-0.000900000,-0.000600000,-0.004000000,-0.000200000
1,99,5,3,7,0.006700000,-0.001400000,-0.001400000,-0.000100000,-0.006200000,0.003700000
1,100,5,4,6,0.006600000,-0.001200000,-0.001200000,0.000800000,-0.006800000,0.009300000
